"","X","lon","lat","epiraindiff","epirhdiff","epitdiff","finfwh","finfwf","finfwd","difflower","diffupper","V12"
"7934",13089,-79.8419189453125,38.3771820068359,-8.08274,-2.16434,0.798960000000001,0.7496168,0.6594508,-0.090166,-28.316961,6.726598,0.048338127670803
"7940",13095,-79.5566711425781,39.004695892334,-7.83803,-3.428,0.738090000000001,0.7901284,0.7473573,-0.0427711,-19.31888,10.67276,0.0436261278554042
"7942",13097,-79.4602966308594,39.2138595581055,-8.21389,-3.97129,0.709040000000002,0.8004336,0.7420905,-0.0583431,-20.42385,7.52559,0.0275553726868054
"7943",13098,-79.411865234375,39.3184394836426,-9.991,-3.95753000000001,0.660189999999998,0.7691582,0.7035661,-0.0655921,-23.96151,9.889604,0.00624190307430439
"7944",13099,-79.36328125,39.4230155944824,-9.56952,-3.94027000000001,0.755260000000002,0.7551559,0.6817045,-0.0734513999999999,-26.071558,8.244647,0.00416196931680446
"7945",13100,-79.3145141601562,39.5275917053223,-8.07892,-3.73277999999999,0.702989999999998,0.7405048,0.6798321,-0.0606726999999999,-26.38245,12.65688,0.00738305244199466
"7946",13101,-79.2655944824219,39.6321640014648,-9.95217,-3.95121,0.696969999999999,0.7580035,0.7140514,-0.0439521,-21.4558,11.89283,0.00336032800559138
"7947",13102,-79.2164916992188,39.7367362976074,-11.77558,-4.00657,0.744480000000001,0.7773317,0.7197296,-0.0576021,-21.06825,8.03438,0.00784518569660264
"7948",13103,-79.167236328125,39.8412933349609,-12.89076,-3.84738,0.708110000000001,0.7622979,0.7177007,-0.0445972,-20.70591,10.66221,0.0139975929450955
"7949",13104,-79.1178283691406,39.945858001709,-11.7155,-3.73835,0.655150000000001,0.7658313,0.6968869,-0.0689444,-23.300822,7.382891,0.00718303507550644
"7950",13105,-79.0682373046875,40.0504150390625,-8.96465,-3.59595999999999,0.636590000000002,0.7584936,0.6947621,-0.0637314999999999,-23.180135,8.076254,0.00727953548060611
"7951",13106,-79.0184631347656,40.1549606323242,-8.35795,-3.64316000000001,0.643239999999999,0.7578527,0.7085487,-0.049304,-21.8669,11.3794,0.0168689052142952
"7952",13107,-78.9685363769531,40.2594985961914,-5.27522,-3.39211,0.514419999999998,0.7444198,0.6986255,-0.0457943,-23.07098,12.57262,0.00572237005509635
"7953",13108,-78.9184265136719,40.3640327453613,-6.31974,-3.58089,0.59497,0.7430634,0.7003073,-0.0427561000000001,-23.11735,13.26883,0.0391675456130898
"7954",13109,-78.8681640625,40.468563079834,-7.71577,-3.91656,0.566860000000002,0.7484861,0.7068875,-0.0415986,-20.90739,11.57377,0.039331566048098
"7955",13110,-78.8177185058594,40.5730781555176,-6.16605,-4.07082,0.615260000000003,0.7450001,0.6909006,-0.0540995000000001,-23.68641,10.84938,0.013839857684097
"7956",13111,-78.76708984375,40.6775932312012,-5.13135999999999,-3.80184,0.59281,0.7342857,0.6849733,-0.0493124,-24.35931,12.66833,0.0208017272162024
"7957",13112,-78.71630859375,40.7821006774902,-6.18052,-3.67541,0.57105,0.7266935,0.6754834,-0.0512101,-25.15909,12.39201,0.00551249220520589
"7958",13113,-78.6653137207031,40.8865928649902,-5.12914,-3.55195999999999,0.610799999999998,0.7198604,0.6643078,-0.0555526,-24.90353,10.82572,0.00611657082060901
"7959",13114,-78.6141967773438,40.9910850524902,-4.72605,-3.35905,0.65391,0.7215259,0.6680611,-0.0534648000000001,-24.06443,11.5311,0.00426429545990459
"7960",13115,-78.5628662109375,41.0955543518066,-7.0856,-3.51017,0.67155,0.7159955,0.6559214,-0.0600741,-25.87504,11.05667,0.00481376381830501
