,X,lon,lat,hist25,fut25,defo25,V12
8619,14170,-77.33035278,41.33961868,93.93603858,98.61172178,4.675683202,0.001411357
8620,14171,-77.27648926,41.44350433,94.41740927,97.84221087,3.424801602,0.006829464
8621,14172,-77.22247314,41.54737854,93.45396092,96.13134324,2.677382317,0.003863142
8622,14173,-77.16824341,41.65123749,93.36698926,95.40669104,2.039701777,0.006890083
8623,14174,-77.11383057,41.75508881,94.23620441,96.08732957,1.851125163,0.01006744
8624,14175,-77.0592041,41.85891724,94.74793824,96.78162134,2.033683097,0.005936526
8625,14176,-77.00442505,41.96274185,95.19768439,97.73280073,2.535116336,0.009852277
8626,14177,-76.94943237,42.06653214,95.56297128,98.13654005,2.573568769,0.006880302
8627,14178,-76.89425659,42.17032623,95.87348504,98.35991593,2.486430889,0.00669112
8628,14179,-76.83886719,42.274086,95.52189669,97.8882071,2.366310417,0.009485622
8629,14180,-76.7833252,42.37782669,95.21007593,97.22213666,2.012060733,0.005550921
8631,14182,-76.67160034,42.58527756,97.61429202,98.93020019,1.315908169,0.008595294
8634,14185,-76.50253296,42.89630127,97.11840599,98.40889908,1.290493087,0.021877425
8638,14189,-76.27432251,43.31069946,98.00713821,99.01920565,1.012067432,0.007504463
8645,14196,-75.86703491,44.03503036,96.58077704,98.1897646,1.608987562,0.011741018
8646,14197,-75.8079834,44.13840485,97.25678056,98.68115046,1.424369897,0.005065451
8647,14198,-75.7487793,44.24175644,98.06189481,98.95538445,0.893489641,0.004948943
8648,14199,-75.68933105,44.34508514,97.98161687,98.93012882,0.948511957,0.006500594
8649,14200,-75.62963867,44.44837189,97.77530535,99.02245815,1.247152794,0.003895767
8650,14201,-75.56976318,44.55163956,97.85575236,98.96444104,1.108688683,0.027519916
8685,14284,-79.02072144,37.55646896,98.32042318,98.99213319,0.671710005,0.011134453
8687,14286,-78.92480469,37.76448441,97.29903354,98.63466657,1.335633028,0.020761757
8688,14287,-78.87658691,37.86850357,96.34186096,98.50660715,2.164746186,0.008026027
8689,14288,-78.82824707,37.97252655,96.01555271,98.61230028,2.596747567,0.005601146
8690,14289,-78.77972412,38.07653427,96.24018718,98.61375943,2.373572249,0.003071526
8691,14290,-78.73101807,38.18056488,94.93057557,98.38219698,3.451621413,0.008721899
8692,14291,-78.68218994,38.28458023,93.70179318,98.31650675,4.614713571,0.002201327
8693,14292,-78.63317871,38.38859558,93.18135864,98.30144716,5.120088519,0.019038254
8694,14293,-78.58401489,38.49260712,93.19441156,98.38794753,5.193535964,0.004842389
8695,14294,-78.53469849,38.5966301,94.59600324,98.65870772,4.06270448,0.021362259
8696,14295,-78.48519897,38.70064163,96.22285815,98.91004864,2.687190488,0.00783995
8697,14296,-78.43554688,38.80465317,97.27109087,98.95939511,1.688304234,0.001965687
8698,14297,-78.38571167,38.90866852,98.49991772,99.16482799,0.664910273,0.008897348
8699,14298,-78.33572388,39.01267624,98.68637874,99.18852973,0.50215099,0.011102238
8700,14299,-78.28555298,39.11667633,98.53339285,99.16483941,0.631446561,0.011855245
8701,14300,-78.23522949,39.22067261,98.51666877,99.14543236,0.62876359,0.006636737
8702,14301,-78.1847229,39.32466507,98.48463398,99.152483,0.667849014,0.002585134
8703,14302,-78.13406372,39.42865372,98.4787639,99.2144389,0.735675003,0.008971407
8704,14303,-78.08322144,39.53264999,98.64087162,99.19357296,0.552701346,0.002180028
8705,14304,-78.03222656,39.63661957,98.67506595,99.22535185,0.550285897,0.007119297
8706,14305,-77.98104858,39.74059677,97.18971449,99.13665609,1.946941598,0.006477477
8707,14306,-77.9296875,39.84456635,94.99392021,99.19483717,4.200916965,0.001867014
8708,14307,-77.87817383,39.94852066,93.26763757,99.15122354,5.883585964,0.010043658
8709,14308,-77.82644653,40.05247498,92.96516353,99.13197439,6.166810862,0.004125321
8710,14309,-77.77456665,40.15641785,92.37540851,99.0597549,6.684346394,0.003673668
8711,14310,-77.72253418,40.26036072,91.76827236,99.02231997,7.254047615,0.00931603
8712,14311,-77.67028809,40.36428452,91.98011831,98.99992383,7.019805515,0.003398225
8713,14312,-77.61785889,40.46820831,92.09386239,99.08098983,6.987127439,0.004424864
8714,14313,-77.56530762,40.57210541,92.37135414,99.13480692,6.76345278,0.005116769
8715,14314,-77.51251221,40.67601395,91.69833129,99.05410996,7.355778673,0.006697329
8716,14315,-77.45956421,40.77989578,91.69875773,98.74628596,7.047528228,0.008764832
8717,14316,-77.40643311,40.88377762,91.23286447,98.6003076,7.367443137,0.002278099
8718,14317,-77.3531189,40.98763657,91.70957831,98.43751024,6.72793193,0.004002641
8719,14318,-77.29962158,41.09149551,93.02424385,98.90419107,5.879947223,0.005726614
8720,14319,-77.24594116,41.19533157,94.81158774,99.11463111,4.30304337,0.004925916
8721,14320,-77.19207764,41.29916763,95.30346319,98.95943486,3.655971675,0.010634451
8722,14321,-77.13800049,41.40296936,94.45226631,98.26585769,3.813591382,0.006036969
8723,14322,-77.08377075,41.50677109,93.86960619,95.98566594,2.116059746,0.011794977
8724,14323,-77.02935791,41.61056519,92.15336208,94.58236935,2.429007272,0.006677721
8725,14324,-76.97473145,41.71432877,92.64820303,94.94178153,2.293578497,0.001804604
8726,14325,-76.91992188,41.81808853,94.30994164,96.25527501,1.945333365,0.005032129
8727,14326,-76.8649292,41.92182541,94.87829496,97.58534762,2.707052653,0.003704206
8728,14327,-76.8097229,42.02555466,96.07640429,98.34763554,2.271231241,0.022686744
8729,14328,-76.7543335,42.12925339,96.1309638,98.5111177,2.380153904,0.005947372
8730,14329,-76.69876099,42.2329483,95.17907642,97.42602535,2.246948925,0.002607522
8731,14330,-76.64297485,42.33662033,94.75258776,96.33140371,1.578815954,0.003758964
8732,14331,-76.58703613,42.44027328,96.44935974,98.41800916,1.968649427,0.035837358
8736,14335,-76.36117554,42.854702,94.30448906,97.04604892,2.741559855,0.004910726
8737,14336,-76.30419922,42.95825958,97.03706107,98.18254135,1.145480277,0.007227995
8738,14337,-76.24703979,43.06180191,98.21587923,98.9347411,0.718861874,0.045983099
8739,14338,-76.18966675,43.16530991,98.47287455,99.0245545,0.55167995,0.035298666
8749,14348,-75.60461426,44.19914627,96.8525284,98.48473274,1.632204345,0.026902267
8750,14349,-75.54498291,44.30239487,97.35681566,98.75109585,1.394280183,0.016483018
8751,14350,-75.48510742,44.40561676,97.59778579,98.82316808,1.225382294,0.004731387
8752,14351,-75.42498779,44.50880051,97.70225557,98.88496252,1.182706957,0.047599741
8792,14437,-78.74490356,37.83030701,98.00922225,98.84023075,0.831008496,0.002048281
