,X,lon,lat,epiraindiff,epirhdiff,epitdiff,finfmh,finfmf,finfmd,V12
2002,2794,-87.44335938,46.47293091,10.34108,-2.28533,1.33248,0.5794919,0.4644843,-0.1150076,0.02074173
2311,3238,-87.20950317,45.74087906,5.51416,-2.39924,1.25926,0.4861688,0.3720362,-0.1141326,0.039707662
2313,3240,-87.13085938,45.95761108,9.94124,-1.81699,1.33982,0.4791291,0.3796303,-0.0994988,0.032458108
2419,3392,-86.89520264,46.14661407,5.34638,-1.78491,1.35935,0.509857,0.4088489,-0.1010081,0.035134813
2629,3694,-86.50134277,46.3069458,7.75656,-1.34428,1.32625,0.5764108,0.4414553,-0.1349555,0.035989997
2835,3993,-86.23010254,46.14188766,6.65686,-1.21042,1.30912,0.509689,0.3896565,-0.1200325,0.029648375
3042,4294,-85.8765564,46.19204712,6.7159,-1.40718,1.29082,0.5304959,0.4026091,-0.1278868,0.045319069
3125,4425,-86.49731445,44.11112213,13.44588,-1.56314,1.23104,0.6417906,0.4564557,-0.1853349,0.043753974
3223,4571,-86.50439453,43.65051651,12.26759,-1.35448,1.17922,0.6453006,0.4697403,-0.1755603,0.010736423
3224,4572,-86.46520996,43.75857162,9.66447,-1.53704,1.19734,0.6397019,0.4526449,-0.187057,0.041694994
3225,4573,-86.42590332,43.86663055,19.99095,-1.74611,1.23881,0.6363112,0.4508409,-0.1854703,0.026633258
3228,4576,-86.30709839,44.19075012,6.3973,-3.69662,1.34604,0.537985,0.3505496,-0.1874354,0.004704915
3229,4577,-86.26721191,44.29877472,8.39774,-3.7651,1.38315,0.5434091,0.360659,-0.1827501,0.009761977
3230,4578,-86.22717285,44.40678406,5.60531,-3.61954,1.3764,0.5691788,0.3741329,-0.1950459,0.047142299
3231,4579,-86.18695068,44.51478958,5.10382,-3.53911,1.40118,0.5837209,0.3859539,-0.197767,0.018974257
3247,4595,-85.5223999,46.24111176,9.28634,-1.48901,1.2588,0.5649888,0.4110808,-0.153908,0.003701067
3248,4596,-85.47946167,46.34888077,14.33145,-1.47249,1.22868,0.5718703,0.4174555,-0.1544148,0.024267848
3323,4719,-86.4335022,43.40608978,14.94833,-1.40126,1.09985,0.638772,0.4656685,-0.1731035,0.008357078
3324,4720,-86.39437866,43.51412201,5.92147,-3.17816,1.19897,0.5495987,0.3661992,-0.1833995,0.014353951
3325,4721,-86.35510254,43.62213516,7.55161,-3.45667,1.23589,0.5491136,0.3637962,-0.1853174,0.012012919
3327,4723,-86.27612305,43.83813477,8.77158,-3.75704,1.31178,0.5275997,0.3500509,-0.1775488,0.027562934
3328,4724,-86.23638916,43.94612885,6.73663,-3.56997,1.37022,0.5408676,0.3537449,-0.1871227,0.028052612
